=== SOAK START 2026-06-26 12:22:34 ===
[13:33:52] eranda-collector CPU=211.37% MEM=626.3MiB / 3.819GiB eranda-redis CPU=1.80% MEM=26.32MiB / 3.819GiB  || CONSUMER-1 q=4249 keys=39 CONSUMER-0 q=9825 keys=39  || reconnect_olayı(son200satır)=0
[13:35:54] eranda-collector CPU=208.68% MEM=634.6MiB / 3.819GiB eranda-redis CPU=2.47% MEM=25.14MiB / 3.819GiB  || CONSUMER-0 q=9219 keys=39 CONSUMER-1 q=4454 keys=39  || reconnect_olayı(son200satır)=0
[13:37:57] eranda-collector CPU=221.50% MEM=645.4MiB / 3.819GiB eranda-redis CPU=2.06% MEM=25.77MiB / 3.819GiB  || CONSUMER-1 q=5602 keys=39 CONSUMER-0 q=10219 keys=39  || reconnect_olayı(son200satır)=0
[13:39:59] eranda-collector CPU=215.13% MEM=645.8MiB / 3.819GiB eranda-redis CPU=1.71% MEM=28.03MiB / 3.819GiB  || CONSUMER-0 q=8951 keys=39  || reconnect_olayı(son200satır)=0
[13:42:02] eranda-collector CPU=159.07% MEM=643.7MiB / 3.819GiB eranda-redis CPU=2.68% MEM=24.96MiB / 3.819GiB  || CONSUMER-1 q=16 keys=39 CONSUMER-0 q=0 keys=39  || reconnect_olayı(son200satır)=0
[13:44:04] eranda-collector CPU=186.13% MEM=637.7MiB / 3.819GiB eranda-redis CPU=17.59% MEM=25.84MiB / 3.819GiB  || CONSUMER-0 q=23 keys=39 CONSUMER-1 q=48 keys=39  || reconnect_olayı(son200satır)=0
[13:46:07] eranda-collector CPU=125.36% MEM=636.5MiB / 3.819GiB eranda-redis CPU=1.40% MEM=25.72MiB / 3.819GiB  || CONSUMER-1 q=28 keys=39 CONSUMER-0 q=0 keys=39  || reconnect_olayı(son200satır)=0
[13:48:09] eranda-collector CPU=204.93% MEM=630.8MiB / 3.819GiB eranda-redis CPU=6.47% MEM=25.06MiB / 3.819GiB  || CONSUMER-1 q=1 keys=39 CONSUMER-0 q=9 keys=39  || reconnect_olayı(son200satır)=0
[13:50:11] eranda-collector CPU=210.71% MEM=628.8MiB / 3.819GiB eranda-redis CPU=1.53% MEM=25.84MiB / 3.819GiB  || CONSUMER-1 q=2 keys=39 CONSUMER-0 q=0 keys=39  || reconnect_olayı(son200satır)=0
[13:52:13] eranda-collector CPU=176.64% MEM=626.5MiB / 3.819GiB eranda-redis CPU=1.79% MEM=25.81MiB / 3.819GiB  || CONSUMER-1 q=98 keys=39 CONSUMER-0 q=0 keys=39  || reconnect_olayı(son200satır)=0
[13:54:16] eranda-collector CPU=101.03% MEM=623.2MiB / 3.819GiB eranda-redis CPU=4.30% MEM=26.02MiB / 3.819GiB  || CONSUMER-0 q=1 keys=39 CONSUMER-1 q=4 keys=39  || reconnect_olayı(son200satır)=1
[13:56:18] eranda-collector CPU=15.68% MEM=621.1MiB / 3.819GiB eranda-redis CPU=2.18% MEM=24.47MiB / 3.819GiB  || CONSUMER-1 q=78 keys=39 CONSUMER-0 q=0 keys=39  || reconnect_olayı(son200satır)=0
[13:58:20] eranda-collector CPU=6.25% MEM=620.4MiB / 3.819GiB eranda-redis CPU=2.11% MEM=23.95MiB / 3.819GiB  || CONSUMER-1 q=0 keys=39 CONSUMER-0 q=2 keys=39  || reconnect_olayı(son200satır)=1
[14:00:23] eranda-collector CPU=116.86% MEM=620.1MiB / 3.819GiB eranda-redis CPU=2.57% MEM=26.28MiB / 3.819GiB  || CONSUMER-1 q=0 keys=39 CONSUMER-0 q=14 keys=39  || reconnect_olayı(son200satır)=1
[14:02:25] eranda-collector CPU=130.72% MEM=620.6MiB / 3.819GiB eranda-redis CPU=2.05% MEM=25.22MiB / 3.819GiB  || CONSUMER-1 q=0 keys=39 CONSUMER-0 q=0 keys=39  || reconnect_olayı(son200satır)=2
[14:04:26] eranda-collector CPU=50.70% MEM=620.3MiB / 3.819GiB eranda-redis CPU=3.08% MEM=25.91MiB / 3.819GiB  || CONSUMER-0 q=0 keys=39 CONSUMER-1 q=0 keys=39  || reconnect_olayı(son200satır)=1
[14:06:29] eranda-collector CPU=211.99% MEM=620.1MiB / 3.819GiB eranda-redis CPU=2.42% MEM=23.96MiB / 3.819GiB  || CONSUMER-1 q=0 keys=39 CONSUMER-0 q=32 keys=39  || reconnect_olayı(son200satır)=1
[14:08:31] eranda-collector CPU=84.07% MEM=620.1MiB / 3.819GiB eranda-redis CPU=2.16% MEM=23.69MiB / 3.819GiB  || CONSUMER-1 q=1 keys=39 CONSUMER-0 q=23 keys=39  || reconnect_olayı(son200satır)=1
[14:10:33] eranda-collector CPU=169.79% MEM=620.6MiB / 3.819GiB eranda-redis CPU=2.12% MEM=25.36MiB / 3.819GiB  || CONSUMER-1 q=0 keys=39 CONSUMER-0 q=22 keys=39  || reconnect_olayı(son200satır)=0
[14:12:36] eranda-collector CPU=87.01% MEM=619.9MiB / 3.819GiB eranda-redis CPU=1.82% MEM=25.62MiB / 3.819GiB  || CONSUMER-0 q=6 keys=39 CONSUMER-1 q=0 keys=39  || reconnect_olayı(son200satır)=1
[14:14:38] eranda-collector CPU=209.21% MEM=620.2MiB / 3.819GiB eranda-redis CPU=2.59% MEM=26.3MiB / 3.819GiB  || CONSUMER-0 q=0 keys=39 CONSUMER-1 q=22 keys=39  || reconnect_olayı(son200satır)=0
[14:16:39] eranda-collector CPU=147.38% MEM=618.2MiB / 3.819GiB eranda-redis CPU=2.22% MEM=25.85MiB / 3.819GiB  || CONSUMER-1 q=20 keys=39 CONSUMER-0 q=43 keys=39  || reconnect_olayı(son200satır)=0
[14:18:42] eranda-collector CPU=134.46% MEM=617.1MiB / 3.819GiB eranda-redis CPU=2.54% MEM=25.99MiB / 3.819GiB  || CONSUMER-1 q=20 keys=39 CONSUMER-0 q=2 keys=39  || reconnect_olayı(son200satır)=1
[14:20:44] eranda-collector CPU=216.69% MEM=617.6MiB / 3.819GiB eranda-redis CPU=5.91% MEM=25.04MiB / 3.819GiB  || CONSUMER-1 q=16 keys=39 CONSUMER-0 q=47 keys=39  || reconnect_olayı(son200satır)=0
